Date,Rate
2001-10,1.84
2001-9,1.61
2001-8,1.21
2001-7,1.20
2001-6,1.20
2001-5,1.13
2001-4,0.91
2001-3,0.55
2001-2,0.44
2001-1,0.40
2000-12,-0.11
2000-11,-0.16
2000-10,-0.17
2000-9,-0.28
2000-8,-0.40
2000-7,-0.29
2000-6,-0.38
2000-5,-0.37
2000-4,-0.41
2000-3,-0.27
2000-2,-0.09
2000-1,0.22
1999-12,0.18
1999-11,0.17
1999-10,0.25
1999-9,0.26
1999-8,0.26
1999-7,0.24
1999-6,0.28
1999-5,0.29
1999-4,0.20
1999-3,0.18
1999-2,0.12
1999-1,0.10
1998-12,0.14
1998-11,0.29
1998-10,0.44
1998-9,0.14
1998-8,0.07
1998-7,0.00
1998-6,-0.02
1998-5,0.06
1998-4,0.08
1998-3,0.09
1998-2,0.15
1998-1,0.18
1997-12,0.09
1997-11,0.17
1997-10,0.26
1997-9,0.33
1997-8,0.36
1997-7,0.33
1997-6,0.40
1997-5,0.43
1997-4,0.44
1997-3,0.47
1997-2,0.52
1997-1,0.57
1996-12,0.52
1996-11,0.50
1996-10,0.62
1996-9,0.60
1996-8,0.61
1996-7,0.60
1996-6,0.61
1996-5,0.64
1996-4,0.55
1996-3,0.61
1996-2,0.78
1996-1,0.54
1995-12,0.39
1995-11,0.45
1995-10,0.34
1995-9,0.39
1995-8,0.51
1995-7,0.50
1995-6,0.45
1995-5,0.46
1995-4,0.49
1995-3,0.42
1995-2,0.36
1995-1,0.27
1994-12,0.22
1994-11,0.81
1994-10,1.01
1994-9,1.07
1994-8,1.06
1994-7,1.17
1994-6,1.17
1994-5,1.21
1994-4,1.42
1994-3,1.48
1994-2,1.50
1994-1,1.61
1993-12,1.56
1993-11,1.56
1993-10,1.46
1993-9,1.51
1993-8,1.68
1993-7,1.74
1993-6,1.80
1993-5,2.06
1993-4,2.13
1993-3,2.03
1993-2,2.16
1993-1,2.21
1992-12,2.10
1992-11,2.29
1992-10,2.51
1992-9,2.53
1992-8,2.40
1992-7,2.48
1992-6,2.21
1992-5,2.16
1992-4,2.14
1992-3,1.85
1992-2,2.13
1992-1,2.07
1991-12,2.06
1991-11,1.86
1991-10,1.62
1991-9,1.47
1991-8,1.47
1991-7,1.35
1991-6,1.32
1991-5,1.29
1991-4,1.09
1991-3,1.01
1991-2,0.98
1991-1,0.96
1990-12,0.77
1990-11,0.79
1990-10,0.84
1990-9,0.81
1990-8,0.69
1990-7,0.31
1990-6,0.13
1990-5,0.12
1990-4,0.07
1990-3,-0.04
1990-2,0.10
1990-1,0.12
1989-12,0.06
1989-11,0.07
1989-10,0.03
1989-9,-0.09
1989-8,-0.03
1989-7,0.20
1989-6,-0.13
1989-5,-0.16
1989-4,-0.27
1989-3,-0.32
1989-2,-0.20
1989-1,-0.09
1988-12,0.02
1988-11,0.29
1988-10,0.45
1988-9,0.52
1988-8,0.63
1988-7,0.78
1988-6,0.89
1988-5,1.09
1988-4,1.13
1988-3,1.10
1988-2,1.03
1988-1,1.04
1987-12,1.13
1987-11,1.17
1987-10,1.12
1987-9,1.08
1987-8,1.01
1987-7,1.01
1987-6,0.83
1987-5,0.85
1987-4,1.00
1987-3,0.83
1987-2,0.85
1987-1,0.85
1986-12,0.84
1986-11,0.97
1986-10,1.15
1986-9,1.10
1986-8,0.84
1986-7,0.63
1986-6,0.62
1986-5,0.64
1986-4,0.60
1986-3,0.57
1986-2,0.73
1986-1,1.05
1985-12,1.11
1985-11,1.20
1985-10,1.38
1985-9,1.39
1985-8,1.39
1985-7,1.54
1985-6,1.47
1985-5,1.46
1985-4,1.34
1985-3,1.15
1985-2,1.34
1985-1,1.45
1984-12,1.32
1984-11,0.92
1984-10,0.56
1984-9,0.32
1984-8,0.29
1984-7,0.48
1984-6,0.65
1984-5,0.94
1984-4,0.94
1984-3,1.01
1984-2,1.05
1984-1,1.03
1983-12,0.99
1983-11,1.03
1983-10,0.97
1983-9,0.86
1983-8,0.78
1983-7,0.69
1983-6,0.67
1983-5,0.89
1983-4,0.83
1983-3,0.85
1983-2,1.08
1983-1,1.13
1982-12,0.88
1982-11,0.75
1982-10,0.72
1982-9,0.56
1982-8,0.74
1982-7,0.15
1982-6,-0.17
1982-5,-0.16
1982-4,-0.33
1982-3,-0.33
1982-2,-0.39
1982-1,0.02
1981-12,0.43
1981-11,0.51
1981-10,-0.39
1981-9,-1.14
1981-8,-1.34
1981-7,-1.07
1981-6,-1.04
1981-5,-1.36
1981-4,-0.47
1981-3,-0.45
1981-2,-0.73
1981-1,-0.69
1980-12,-1.24
1980-11,-0.83
1980-10,-0.34
1980-9,-0.06
1980-8,0.57
1980-7,1.22
1980-6,1.05
1980-5,0.73
1980-4,-1.03
1980-3,-2.13
1980-2,-1.01
1980-1,-0.70
1979-12,-1.00
1979-11,-1.16
1979-10,-1.19
1979-9,-0.73
1979-8,-0.43
1979-7,-0.19
1979-6,-0.31
1979-5,-0.53
1979-4,-0.60
1979-3,-0.67
1979-2,-0.62
1979-1,-0.76
1978-12,-0.71
1978-11,-0.61
1978-10,-0.21
1978-9,-0.15
1978-8,0.04
1978-7,0.15
1978-6,0.22
1978-5,0.34
1978-4,0.41
1978-3,0.46
1978-2,0.46
1978-1,0.47
1977-12,0.51
1977-11,0.44
1977-10,0.41
1977-9,0.63
1977-8,0.79
1977-7,1.06
1977-6,1.15
1977-5,1.21
1977-4,1.41
1977-3,1.37
1977-2,1.30
1977-1,1.31
1976-12,1.49
1976-11,1.48
1976-10,1.43
1976-9,1.17
1976-8,1.14
1976-7,0.98
1976-6,0.80
